Date,Rainfall (mm),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2018-06-09,0.15,32.7,56.3375,87.025,0.393333333,10.47333333
2018-06-10,0.0,34.825,45.89375,93.79375,0.0,5.56
2018-06-11,0.0,34.24375,48.54375,96.8875,0.0,5.693333333
2018-06-12,0.0,31.1125,54.25625,92.6375,0.0,7.433333333
2018-06-13,23.475,35.60625,51.425,96.8875,0.02,18.83333333
2018-06-14,0.0,37.05625,42.70625,76.99375,0.193333333,13.36666667
2018-06-15,0.0,36.8625,41.29375,64.5375,0.326666667,13.15333333
2018-06-16,0.0,39.0375,34.3875,62.4375,0.0,13.4
2018-06-17,1.0375,38.34375,32.2,64.70625,0.0,13.65333333
2018-06-18,0.05,38.225,29.2375,57.89375,0.0,15.04666667
2018-06-19,1.01875,37.14375,36.2125,69.60625,0.466666667,14.62
2018-06-20,0.0,38.7125,32.86875,60.05,0.02,11.52666667
2018-06-21,0.05,39.5625,31.14375,66.8375,0.0,8.84
2018-06-22,18.7,38.93125,36.9625,97.4,0.0,9.24
2018-06-23,27.4,34.75,56.0625,98.18125,0.006666667,9.313333333
2018-06-24,0.05,31.63125,73.7,97.39375,0.033333333,8.08
2018-06-25,0.06875,34.50625,52.625,81.10625,0.126666667,9.833333333
2018-06-26,0.0,35.31875,49.14375,70.88125,0.96,12.88666667
2018-06-27,0.15625,34.3,49.84375,92.7625,0.0,12.76
2018-06-28,46.2625,34.4875,51.23125,97.55625,0.133333333,12.02
2018-06-29,6.15625,28.81875,84.93125,98.125,0.0,7.68
2018-06-30,3.3,32.975,65.91875,96.29375,0.0,8.26
2018-07-01,0.0,31.31875,29.0,86.31875,0.0,7.26
2018-07-02,0.0,32.625,31.55,83.25,0.006666667,8.133333333
2018-07-03,0.0,36.75625,15.64375,76.95,0.1,8.966666667
2018-07-04,0.15625,36.85,39.5875,73.18125,0.526666667,11.29333333
2018-07-05,0.0,39.26875,30.58125,78.975,0.873333333,11.93333333
2018-07-06,7.375,39.33125,35.34375,96.2625,0.06,12.30666667
